date,close,open,high,low
2024-03-13,16177.77,16220.11,16233.30,16143.34
2024-03-14,16128.53,16209.19,16245.32,16039.68
2024-03-15,15973.17,16043.58,16055.33,15925.91
2024-03-18,16103.45,16154.92,16247.59,16094.17
2024-03-19,16166.79,16031.93,16175.59,15951.86
2024-03-20,16369.41,16185.76,16377.44,16127.48
2024-03-21,16401.84,16517.24,16538.86,16393.90
2024-03-22,16428.82,16387.83,16467.62,16361.00
2024-03-25,16384.47,16335.30,16441.17,16315.72
2024-03-26,16315.70,16446.85,16476.38,16312.95
2024-03-27,16399.52,16424.76,16431.82,16279.17
2024-03-28,16379.46,16377.23,16420.92,16347.38
2024-04-01,16396.83,16397.05,16490.65,16327.89
2024-04-02,16240.45,16199.24,16251.41,16137.24
2024-04-03,16277.46,16178.80,16340.74,16169.31
2024-04-04,16049.08,16418.57,16468.04,16046.56
2024-04-05,16248.52,16095.40,16326.50,16080.48
2024-04-08,16253.96,16285.18,16323.60,16220.72
2024-04-09,16306.64,16328.76,16348.18,16141.15
2024-04-10,16170.36,16104.01,16200.10,16092.02
2024-04-11,16442.20,16236.20,16464.60,16154.65
2024-04-12,16175.09,16293.03,16341.45,16125.33
2024-04-15,15885.02,16276.47,16295.27,15863.88
2024-04-16,15865.25,15856.38,15965.79,15822.02
2024-04-17,15683.37,15942.29,15957.03,15654.51
2024-04-18,15601.50,15705.69,15786.12,15587.50
2024-04-19,15282.01,15547.10,15576.70,15222.78
2024-04-22,15451.31,15396.13,15539.00,15265.66
2024-04-23,15696.64,15525.55,15730.35,15510.58
2024-04-24,15712.75,15805.60,15839.00,15634.44
2024-04-25,15611.76,15375.26,15644.51,15343.91
2024-04-26,15927.90,15821.34,15981.00,15770.72
2024-04-29,15983.08,16007.00,16021.49,15885.89
2024-04-30,15657.82,15920.89,15979.36,15655.67
2024-05-01,15605.48,15646.09,15926.22,15557.64
2024-05-02,15840.96,15758.11,15862.79,15604.73
2024-05-03,16156.33,16147.48,16204.71,16068.34
2024-05-06,16349.25,16208.54,16350.08,16197.86
2024-05-07,16332.56,16358.34,16397.39,16303.84
2024-05-08,16302.76,16226.07,16341.65,16226.07
2024-05-09,16346.26,16323.74,16362.79,16241.98
2024-05-10,16340.87,16389.02,16437.39,16293.52
2024-05-13,16388.24,16400.31,16407.05,16334.86
2024-05-14,16511.18,16391.16,16526.27,16386.43
2024-05-15,16742.39,16601.14,16749.74,16544.09
2024-05-16,16698.32,16738.11,16797.83,16693.45
2024-05-17,16685.97,16708.49,16726.41,16613.84
2024-05-20,16794.87,16702.02,16823.83,16695.69
2024-05-21,16832.62,16736.10,16839.02,16719.97
2024-05-22,16801.54,16839.02,16855.27,16712.09
2024-05-23,16736.03,16996.39,16996.39,16678.37
2024-05-24,16920.79,16786.79,16947.80,16771.58
2024-05-28,17019.88,16988.31,17032.66,16917.51
